ID,segment
test-1,0.0167959127575
test-10,0.0859699323773
test-100,0.234051704407
test-1000,0.16366507113
test-10000,0.136533468962
test-100000,0.0684695467353
test-10001,0.0651818588376
test-10002,0.0492909476161
test-10003,0.00820133835077
test-10004,0.020441621542
test-10005,0.0357701331377
test-10006,0.0602249093354
test-10007,0.271283745766
test-10008,0.0694130733609
test-10009,0.155121415854
test-1001,0.292427569628
test-10010,0.136592164636
test-10011,0.0398459732533
test-10012,0.0247057136148
test-10013,0.109368808568
test-10014,0.390315890312
test-10015,0.0211142040789
test-10016,0.0173057951033
test-10017,0.00621278118342
test-10018,0.00770379696041
test-10019,0.159408420324
test-1002,0.0217311233282
test-10020,0.156159624457
test-10021,0.0101367924362
test-10022,0.0143182156608
test-10023,0.02382109873
test-10024,0.00628376286477
test-10025,0.27901378274
test-10026,0.11972822994
test-10027,0.00539408344775
test-10028,0.0474896021187
test-10029,0.179456308484
test-1003,0.0261101108044
test-10030,0.0707018077374
test-10031,0.0199869219214
test-10032,0.0454808026552
test-10033,0.35735937953
test-10034,0.0240904800594
test-10035,0.0431964173913
test-10036,0.183107614517
test-10037,0.0238714851439
test-10038,0.00417568394914
test-10039,0.0397239252925
test-1004,0.00697897328064
test-10040,0.0187051966786
test-10041,0.245126575232
test-10042,0.190787509084
test-10043,0.314648747444
test-10044,0.0165698751807
test-10045,0.0232342984527
test-10046,0.0269980318844
test-10047,0.037346471101
test-10048,0.021520614624
test-10049,0.163732379675
test-1005,0.0243774577975
test-10050,0.02448839508
test-10051,0.109703101218
test-10052,0.0316200293601
test-10053,0.0482936538756
test-10054,0.0661408305168
test-10055,0.00535222934559
test-10056,0.0219184048474
test-10057,0.100370638072
test-10058,0.0054770456627
test-10059,0.168263018131
test-1006,0.00707691069692
test-10060,0.0290723461658
test-10061,0.0109230848029
test-10062,0.0510492436588
test-10063,0.0234484151006
test-10064,0.264865487814
test-10065,0.226617604494
test-10066,0.0587759241462
test-10067,0.263434112072
test-10068,0.399638533592
test-10069,0.0487516112626
test-1007,0.0192179400474
test-10070,0.137682259083
test-10071,0.0128623247147
test-10072,0.284041643143
test-10073,0.413844168186
test-10074,0.0325348563492
test-10075,0.0950877144933
test-10076,0.0224127322435
test-10077,0.069948412478
test-10078,0.108444720507
test-10079,0.00418999604881
test-1008,0.0195652488619
test-10080,0.0262035094202
test-10081,0.0102489888668
test-10082,0.0281491987407
test-10083,0.133278742433
test-10084,0.00588811188936
test-10085,0.277222216129
test-10086,0.00245558586903
test-10087,0.0924277752638
test-10088,0.0419964976609
test-10089,0.18579415977
test-1009,0.389428019524
test-10090,0.00993209984154
test-10091,0.0152472397313
test-10092,0.118503071368
test-10093,0.00376171292737
test-10094,0.134189888835
test-10095,0.394693762064
test-10096,0.00959563441575
test-10097,0.00467975670472
test-10098,0.0768527686596
test-10099,0.237861707807
test-101,0.161867141724
test-1010,0.0226234886795
test-10100,0.00988907273859
test-10101,0.118482656777
test-10102,0.0148482741788
test-10103,0.0309209749103
test-10104,0.00736581534147
test-10105,0.0454808026552
test-10106,0.0772779583931
test-10107,0.200378641486
test-10108,0.08285112679
test-10109,0.0258100777864
test-1011,0.0284145865589
